Name,Ticker,Industry,Weight,,
Apple Inc,AAPL,Information Technology,9.22%,,
Microsoft Corp,MSFT,Information Technology,7.96%,,
NVIDIA Corp,NVDA,Information Technology,7.46%,,
Amazon.com Inc,AMZN,Consumer Discretionary,5.85%,,
Broadcom Inc,AVGO,Information Technology,3.66%,,
Meta Platforms Inc,META,Communication Services,3.62%,,
Netflix Inc,NFLX,Communication Services,2.82%,,
Costco Wholesale Corp,COST,Consumer Staples,2.81%,,
Tesla Inc,TSLA,Consumer Discretionary,2.72%,,
Alphabet Inc,GOOGL,Communication Services,2.60%,,
Alphabet Inc,GOOG,Communication Services,2.47%,,
T-Mobile US Inc,TMUS,Communication Services,2.07%,,
Cisco Systems Inc,CSCO,Information Technology,1.65%,,
Linde PLC,LIN,Materials,1.48%,,
PepsiCo Inc,PEP,Consumer Staples,1.39%,,
Palantir Technologies Inc,PLTR,Information Technology,1.37%,,
Intuitive Surgical Inc,ISRG,Health Care,1.22%,,
QUALCOMM Inc,QCOM,Information Technology,1.18%,,
Advanced Micro Devices Inc,AMD,Information Technology,1.17%,,
Adobe Inc,ADBE,Information Technology,1.16%,,
Intuit Inc,INTU,Information Technology,1.16%,,
Texas Instruments Inc,TXN,Information Technology,1.11%,,
Amgen Inc,AMGN,Health Care,1.11%,,
Booking Holdings Inc,BKNG,Consumer Discretionary,1.05%,,
Comcast Corp,CMCSA,Communication Services,0.95%,,
Honeywell International Inc,HON,Industrials,0.94%,,
Gilead Sciences Inc,GILD,Health Care,0.93%,,
Vertex Pharmaceuticals Inc,VRTX,Health Care,0.87%,,
Automatic Data Processing Inc,ADP,Information Technology,0.84%,,
Applied Materials Inc,AMAT,Information Technology,0.81%,,
Palo Alto Networks Inc,PANW,Information Technology,0.78%,,
Starbucks Corp,SBUX,Consumer Discretionary,0.76%,,
MercadoLibre Inc,MELI,Consumer Discretionary,0.72%,,
Analog Devices Inc,ADI,Information Technology,0.70%,,
Intel Corp,INTC,Information Technology,0.69%,,
Micron Technology Inc,MU,Information Technology,0.69%,,
Lam Research Corp,LRCX,Information Technology,0.65%,,
KLA Corp,KLAC,Information Technology,0.63%,,
Mondelez International Inc,MDLZ,Consumer Staples,0.59%,,
Crowdstrike Holdings Inc,CRWD,Information Technology,0.58%,,
Cintas Corp,CTAS,Industrials,0.56%,,
PDD Holdings Inc ADR,PDD,Consumer Discretionary,0.56%,,
O'Reilly Automotive Inc,ORLY,Consumer Discretionary,0.55%,,
AppLovin Corp,APP,Information Technology,0.55%,,
MicroStrategy Inc,MSTR,Information Technology,0.52%,,
Fortinet Inc,FTNT,Information Technology,0.52%,,
DoorDash Inc,DASH,Consumer Discretionary,0.52%,,
Cadence Design Systems Inc,CDNS,Information Technology,0.49%,,
Synopsys Inc,SNPS,Information Technology,0.47%,,
Regeneron Pharmaceuticals Inc,REGN,Health Care,0.46%,,
PayPal Holdings Inc,PYPL,Information Technology,0.46%,,
Marriott International Inc/MD,MAR,Consumer Discretionary,0.46%,,
Constellation Energy Corp,CEG,Utilities,0.44%,,
Roper Technologies Inc,ROP,Industrials,0.43%,,
ASML Holding NV,ASML,Information Technology,0.42%,,
Autodesk Inc,ADSK,Information Technology,0.39%,,
Monster Beverage Corp,MNST,Consumer Staples,0.39%,,
CSX Corp,CSX,Industrials,0.38%,,
Marvell Technology Inc,MRVL,Information Technology,0.38%,,
American Electric Power Co Inc,AEP,Utilities,0.38%,,
Paychex Inc,PAYX,Industrials,0.37%,,
Airbnb Inc,ABNB,Consumer Discretionary,0.37%,,
Charter Communications Inc,CHTR,Communication Services,0.37%,,
Copart Inc,CPRT,Industrials,0.36%,,
Workday Inc,WDAY,Information Technology,0.35%,,
PACCAR Inc,PCAR,Industrials,0.35%,,
NXP Semiconductors NV,NXPI,Information Technology,0.34%,,
Diamondback Energy Inc,FANG,Energy,0.31%,,
Keurig Dr Pepper Inc,KDP,Consumer Staples,0.31%,,
Fastenal Co,FAST,Industrials,0.30%,,
Exelon Corp,EXC,Utilities,0.30%,,
Baker Hughes Co,BKR,Energy,0.29%,,
Ross Stores Inc,ROST,Consumer Discretionary,0.29%,,
AstraZeneca PLC ADR,AZN,Health Care,0.29%,,
Axon Enterprise Inc,AXON,Industrials,0.28%,,
Verisk Analytics Inc,VRSK,Industrials,0.28%,,
Xcel Energy Inc,XEL,Utilities,0.27%,,
Coca-Cola Europacific Partners PLC,CCEP,Consumer Staples,0.27%,,
Lululemon Athletica Inc,LULU,Consumer Discretionary,0.27%,,
Cognizant Technology Solutions Corp,CTSH,Information Technology,0.26%,,
Electronic Arts Inc,EA,Communication Services,0.26%,,
Take-Two Interactive Software Inc,TTWO,Communication Services,0.26%,,
GE HealthCare Technologies Inc,GEHC,Health Care,0.25%,,
Atlassian Corp,TEAM,Information Technology,0.25%,,
Old Dominion Freight Line Inc,ODFL,Industrials,0.24%,,
Kraft Heinz Co/The,KHC,Consumer Staples,0.24%,,
IDEXX Laboratories Inc,IDXX,Health Care,0.23%,,
Datadog Inc,DDOG,Information Technology,0.22%,,
CoStar Group Inc,CSGP,Real Estate,0.22%,,
Zscaler Inc,ZS,Information Technology,0.22%,,
ANSYS Inc,ANSS,Information Technology,0.19%,,
Microchip Technology Inc,MCHP,Information Technology,0.18%,,
Dexcom Inc,DXCM,Health Care,0.18%,,
Warner Bros Discovery Inc,WBD,Communication Services,0.18%,,
Trade Desk Inc/The,TTD,Communication Services,0.17%,,
CDW Corp/DE,CDW,Information Technology,0.15%,,
GLOBALFOUNDRIES Inc,GFS,Information Technology,0.14%,,
Biogen Inc,BIIB,Health Care,0.14%,,
ON Semiconductor Corp,ON,Information Technology,0.12%,,
ARM Holdings PLC ADR,ARM,Information Technology,0.10%,,
MongoDB Inc,MDB,Information Technology,0.10%,,